City Name,City Number
Shellbrook,6145951
Saint George,262462
Bay Roberts,5895424
Alyangula,2079582
Russell,4278471
Aklavik,5882953
Mandiana,2417795
Ekhabi,2122614
Jinka,333750
Leiyang,1804208
Sayyan,70979
Osek,3068857
Grindavik,3416888
Chagoda,570086
Tynda,2014718
Nishihara,1850144
San Policarpo,1688696
Thompson,6165406
Artesia,5455796
Esperance,2071860
Beloha,1067565
Codrington,2160063
Yeppoon,2142316
Kavaratti,1267390
Rio Grande,3451138
Rhyl,2639409
Poltavka,1494500
Alta Floresta,6316343
Quillota,3874119
Yakeshi,2033536
Kaeo,2189343
Gemena,2315728
Mangrol,1263751
Bollnas,2720679
Rolla,4406282
Weligama,1223738
Bullhead City,5287565
Forestville,6944112
Sangar,2017215
Macau,3395998
Erie,5188843
Meulaboh,1214488
Alekseyevka,548625
Yarke Pole,709334
Bilibino,2126682
Abengourou,2293549
Husavik,5961417
Vanimo,2084442
Bayan,1813029
Bhongir,1275848
Zhigansk,2012530
Isangel,2136825
Carballo,3126369
Parana,3663516
Tamandare,3661980
Bandarbeyla,64814
Dicabisagan,1715015
Teahupoo,4033543
Maturin,3778045
Saint Michael,5045258
Port Keats,2063039
Usinsk,863061
Show Low,5314245
Guerrero Negro,4021858
Bouar,2387926
Upernavik,3418910
Edeia,3464363
Huangchuan,1804646
Taungdwingyi,1294041
Yumen,1528998
Bridlington,2654728
Portland,4975802
Teknaf,1185095
Borogontsy,2026160
Weinan,1791636
Sayanogorsk,1492893
Tadine,2138285
Chyhyryn,710473
Aksarka,1512019
Bubaque,2374583
Belmonte,8010472
Bocas del Toro,3713959
Waddan,2209055
Namibe,3347019
Alofi,4036284
Marfino,503977
Roald,3141667
Hamilton,5969785
Dongsheng,1788268
South Sioux City,5079250
Hovd,7626384
Rjukan,3141682
Roura,3380450
Goderich,5962442
Namie,2111704
Teeli,1489828
Abu Dhabi,292968
Arman,2127060
Constantine,2501152
Kirovskiy,2022064
Moyale,186180
Half Moon Bay,5354943
Khorixas,3356213
Xinmin,2033675
Duzce,747764
Jalingo,2351027
La Palma,3687505
Jolalpan,3819050
Leningradskiy,2123814
College,5859699
Makakilo City,5850554
Pelotas,3454244
Wanning,3220813
Yantal,2055868
Stepnyak,1518768
Moranbah,6533368
Banda Aceh,1215502
Ust-Koksa,1488167
Fare,4034496
Jacksonville,4160021
Hvide Sande,2619537
Rotnes,3141156
Chadan,1508501
Jand,1176218
Bissau,2374775
Taoudenni,2450173
Viedma,3832899
Qandala,53157
Lata,1253628
Araouane,2460954
Queanbeyan,2152286
Winnemucca,5710360
Sharhorod,694350
Niono,2452655
Broome,2656067
Zhangjiakou,2033196
Bereda,3105522
Vievis,593191
Ruzhyn,695082
Carahue,3896774
Escanaba,4992232
Sasaram,1273309
Iqaluit,5983720
Innisfail,2162683
Acajutla,3587498
Marrakesh,2542997
Bara,2347758
Naze,2337542
Aleksandrov Gay,583345
Chachapoyas,3698540
Zaysan,1517060
Mumford,2297810
Faya,110690
Plettenberg Bay,964712
Shimoda,1852357
Corinto,3685871
Nampula,1033356
La Ronge,6050066
Agadez,2448085
Nyurba,2018735
Gamba,1281256
Mbala,176146
Hearst,5973108
Batagay-Alyta,2027042
Chambarak,616786
Tres Passos,3446087
Halifax,6324729
Iacu,3461638
Noumea,2139521
Spassk,482123
Sfantu Gheorghe,667306
Cabedelo,3404558
Katsuura,1865309
Nouadhibou,2377457
Semey,1519422
Acapulco,3533462
Libreville,2399697
Soe,587876
Pemba,1028918
Laoag,1707404
Dagda,460474
Sal Rei,3374235
La Paz Centro,3618411
Dubbo,2168305
Namtsy,2019488
Yamada,1849876
Chapais,5919850
Key West,5059429
San Quintin,1688687
Santa Flavia,3832376
Melfort,6071876
Samfya,899274
Ostrovnoy,556268
Ilo,3938415
Mount Isa,2065594
Mareeba,2158767
Lamont,6049046
Aykhal,2027296
Sur,286245
Tres Arroyos,3833859
Bermejo,3923154
Pampierstad,966380
Verrettes,3716044
Sao Filipe,3374210
Champerico,3530097
Mamit,1263983
Mirnyy,502265
Naberera,152042
Nagapattinam,1262260
Novopokrovka,699328
Bellegarde-sur-Valserine,3033685
Berlevag,780687
Boguchany,1509844
Yako,2353688
Juneau,5554072
Kungalv,2698739
Longyearbyen,2729907
Babushkin,2027276
Abu Samrah,172515
Kampong Thum,1831125
Kinablangan,1708743
Kizhinga,2022003
Bartica,3379507
Seymchan,2121373
Mayumba,2399001
Whithorn,3491102
Prince Rupert,6113406
Owando,2255542
Rio Gallegos,3838859
Ornskoldsvik,2686469
Pilot Butte,6104745
Kampong Chhnang,1831167
Harrismith,997751
Karratha,6620339
Beaverlodge,5896969
Tsumeb,3352593
Nikki,2392505
Brus Laguna,3614663
Vilhena,3924679
Tabou,2281120
San Felipe,3872255
Brae,2654970
Sao Jose do Rio Pardo,3448640
Osa,514706
Zhuanghe,1784055
Havoysund,779622
Ulagan,1488048
